InboundID,Site,Client,UnitsReceived,StartTime,EndTime,Supplier,WarehouseAddress
1000,Deal Party,BayLine Automotive Logistics,771,2026-02-24 10:15:00,2026-02-24 11:32:00,AutoParts SA,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1001,Walmer Downs,BayLine Automotive Logistics,583,2026-02-19 12:02:00,2026-02-19 12:29:00,TechGlobal Imports,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1002,Korsten,HarbourView Retail Distribution,2861,2026-02-20 06:35:00,2026-02-20 07:45:00,FreshFoods SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1003,Newton Park,Algoa Fresh Distribution,853,2026-02-15 10:51:00,2026-02-15 11:12:00,FurnitureDirect,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1004,Fairview,Coastal Homeware Supply Co.,618,2026-02-05 09:48:00,2026-02-05 11:34:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1005,Newton Park,BayLine Automotive Logistics,377,2026-02-12 11:38:00,2026-02-12 13:05:00,FurnitureDirect,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1006,Walmer Downs,BayLine Automotive Logistics,2774,2026-02-13 07:35:00,2026-02-13 09:10:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1007,Fairview,HarbourView Retail Distribution,1385,2026-02-07 07:02:00,2026-02-07 08:20:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1008,Korsten,BayLine Automotive Logistics,866,2026-02-13 10:29:00,2026-02-13 12:22:00,MassRetail Suppliers,"12 Kempston Road, Korsten, Gqeberha, 6020"
1009,Fairview,Algoa Fresh Distribution,2695,2026-02-22 10:44:00,2026-02-22 11:22:00,TechGlobal Imports,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1010,Walmer Downs,Algoa Fresh Distribution,2821,2026-02-06 13:24:00,2026-02-06 14:53:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1011,Korsten,Coastal Homeware Supply Co.,1492,2026-02-27 06:14:00,2026-02-27 06:42:00,FurnitureDirect,"12 Kempston Road, Korsten, Gqeberha, 6020"
1012,Fairview,BayLine Automotive Logistics,1820,2026-02-07 11:13:00,2026-02-07 13:40:00,FurnitureDirect,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1013,Korsten,Coastal Homeware Supply Co.,2407,2026-02-05 09:47:00,2026-02-05 12:30:00,MassRetail Suppliers,"12 Kempston Road, Korsten, Gqeberha, 6020"
1014,Walmer Downs,Eastern Cape Tech Components,766,2026-02-19 12:23:00,2026-02-19 13:39:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1015,Newton Park,BayLine Automotive Logistics,826,2026-02-25 06:55:00,2026-02-25 07:43:00,TechGlobal Imports,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1016,Newton Park,HarbourView Retail Distribution,2117,2026-02-03 12:24:00,2026-02-03 15:16:00,FreshFoods SA,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1017,Fairview,HarbourView Retail Distribution,2992,2026-02-28 06:43:00,2026-02-28 07:32:00,FreshFoods SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1018,Fairview,Coastal Homeware Supply Co.,2058,2026-02-04 10:27:00,2026-02-04 11:27:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1019,Fairview,HarbourView Retail Distribution,2761,2026-02-25 08:32:00,2026-02-25 09:19:00,MassRetail Suppliers,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1020,Walmer Downs,HarbourView Retail Distribution,2409,2026-02-07 08:23:00,2026-02-07 09:24:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1021,Deal Party,HarbourView Retail Distribution,1686,2026-02-11 13:01:00,2026-02-11 13:49:00,MassRetail Suppliers,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1022,Korsten,BayLine Automotive Logistics,483,2026-02-08 07:05:00,2026-02-08 09:29:00,FreshFoods SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1023,Korsten,Algoa Fresh Distribution,1285,2026-02-22 13:35:00,2026-02-22 14:37:00,FreshFoods SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1024,Walmer Downs,Eastern Cape Tech Components,1476,2026-02-07 14:48:00,2026-02-07 15:59:00,FurnitureDirect,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1025,Fairview,Eastern Cape Tech Components,1120,2026-02-17 13:07:00,2026-02-17 14:30:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1026,Fairview,BayLine Automotive Logistics,1102,2026-02-19 14:14:00,2026-02-19 17:04:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1027,Deal Party,BayLine Automotive Logistics,1553,2026-02-08 07:57:00,2026-02-08 08:25:00,AutoParts SA,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1028,Walmer Downs,Algoa Fresh Distribution,741,2026-02-09 13:13:00,2026-02-09 15:51:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1029,Walmer Downs,Eastern Cape Tech Components,979,2026-02-08 13:51:00,2026-02-08 15:55:00,AutoParts SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1030,Deal Party,Eastern Cape Tech Components,421,2026-02-12 12:26:00,2026-02-12 14:45:00,AutoParts SA,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1031,Deal Party,Eastern Cape Tech Components,1218,2026-02-24 11:51:00,2026-02-24 12:38:00,TechGlobal Imports,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1032,Korsten,HarbourView Retail Distribution,1340,2026-02-15 08:27:00,2026-02-15 09:33:00,FurnitureDirect,"12 Kempston Road, Korsten, Gqeberha, 6020"
1033,Korsten,BayLine Automotive Logistics,2871,2026-02-15 14:06:00,2026-02-15 14:38:00,FreshFoods SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1034,Deal Party,BayLine Automotive Logistics,2189,2026-02-25 09:10:00,2026-02-25 11:14:00,FurnitureDirect,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1035,Korsten,Eastern Cape Tech Components,1799,2026-02-02 08:24:00,2026-02-02 08:44:00,MassRetail Suppliers,"12 Kempston Road, Korsten, Gqeberha, 6020"
1036,Newton Park,Coastal Homeware Supply Co.,834,2026-02-14 14:42:00,2026-02-14 17:06:00,TechGlobal Imports,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1037,Fairview,Algoa Fresh Distribution,434,2026-02-02 14:03:00,2026-02-02 15:43:00,AutoParts SA,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1038,Walmer Downs,Eastern Cape Tech Components,2280,2026-02-17 14:10:00,2026-02-17 14:44:00,AutoParts SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1039,Korsten,BayLine Automotive Logistics,1853,2026-02-20 07:43:00,2026-02-20 09:03:00,AutoParts SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1040,Walmer Downs,Algoa Fresh Distribution,1917,2026-02-19 06:39:00,2026-02-19 07:19:00,FreshFoods SA,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1041,Walmer Downs,HarbourView Retail Distribution,1177,2026-02-11 10:13:00,2026-02-11 11:53:00,MassRetail Suppliers,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
1042,Newton Park,Algoa Fresh Distribution,497,2026-02-22 10:29:00,2026-02-22 12:09:00,AutoParts SA,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1043,Newton Park,HarbourView Retail Distribution,1073,2026-02-19 07:04:00,2026-02-19 09:41:00,FreshFoods SA,"18 Diaz Road, Newton Park, Gqeberha, 6045"
1044,Fairview,Algoa Fresh Distribution,1713,2026-02-12 07:56:00,2026-02-12 09:18:00,MassRetail Suppliers,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
1045,Korsten,Eastern Cape Tech Components,2705,2026-02-27 14:45:00,2026-02-27 16:22:00,FreshFoods SA,"12 Kempston Road, Korsten, Gqeberha, 6020"
1046,Deal Party,HarbourView Retail Distribution,1283,2026-02-10 07:56:00,2026-02-10 08:50:00,AutoParts SA,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1047,Deal Party,HarbourView Retail Distribution,1062,2026-02-05 10:18:00,2026-02-05 13:12:00,MassRetail Suppliers,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
1048,Korsten,Coastal Homeware Supply Co.,578,2026-02-17 13:16:00,2026-02-17 13:49:00,FurnitureDirect,"12 Kempston Road, Korsten, Gqeberha, 6020"
1049,Fairview,BayLine Automotive Logistics,2809,2026-02-01 11:49:00,2026-02-01 12:42:00,MassRetail Suppliers,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
