AuditID,Site,Client,ExpectedQty,ActualQty,Variance,WarehouseAddress
3000,Fairview,Eastern Cape Tech Components,3766,3753,-0.0035,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3001,Deal Party,Coastal Homeware Supply Co.,3996,3986,-0.0025,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3002,Fairview,Coastal Homeware Supply Co.,1750,1729,-0.012,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3003,Newton Park,BayLine Automotive Logistics,1247,1221,-0.0209,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3004,Deal Party,BayLine Automotive Logistics,4037,4034,-0.0007,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3005,Fairview,Algoa Fresh Distribution,991,973,-0.0182,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3006,Walmer Downs,HarbourView Retail Distribution,3200,3179,-0.0066,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3007,Deal Party,Eastern Cape Tech Components,3396,3369,-0.008,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3008,Newton Park,BayLine Automotive Logistics,2856,2837,-0.0067,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3009,Fairview,Coastal Homeware Supply Co.,1348,1330,-0.0134,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3010,Walmer Downs,Algoa Fresh Distribution,1767,1746,-0.0119,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3011,Newton Park,Algoa Fresh Distribution,1386,1375,-0.0079,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3012,Walmer Downs,Coastal Homeware Supply Co.,1441,1417,-0.0167,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3013,Fairview,HarbourView Retail Distribution,2352,2327,-0.0106,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3014,Newton Park,HarbourView Retail Distribution,715,696,-0.0266,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3015,Fairview,BayLine Automotive Logistics,1977,1969,-0.004,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3016,Fairview,Coastal Homeware Supply Co.,3375,3375,0.0,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3017,Korsten,Algoa Fresh Distribution,3783,3781,-0.0005,"12 Kempston Road, Korsten, Gqeberha, 6020"
3018,Korsten,BayLine Automotive Logistics,1251,1228,-0.0184,"12 Kempston Road, Korsten, Gqeberha, 6020"
3019,Walmer Downs,Algoa Fresh Distribution,3581,3568,-0.0036,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3020,Newton Park,Coastal Homeware Supply Co.,1789,1778,-0.0061,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3021,Fairview,Coastal Homeware Supply Co.,1195,1167,-0.0234,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3022,Deal Party,Algoa Fresh Distribution,1789,1765,-0.0134,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3023,Walmer Downs,BayLine Automotive Logistics,1168,1160,-0.0068,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3024,Newton Park,Eastern Cape Tech Components,4478,4459,-0.0042,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3025,Newton Park,Eastern Cape Tech Components,2737,2731,-0.0022,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3026,Walmer Downs,BayLine Automotive Logistics,3327,3314,-0.0039,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3027,Deal Party,Coastal Homeware Supply Co.,4486,4470,-0.0036,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3028,Fairview,BayLine Automotive Logistics,2306,2294,-0.0052,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3029,Walmer Downs,BayLine Automotive Logistics,562,556,-0.0107,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3030,Fairview,Algoa Fresh Distribution,1624,1600,-0.0148,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3031,Fairview,Coastal Homeware Supply Co.,3187,3184,-0.0009,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3032,Deal Party,Eastern Cape Tech Components,4027,4022,-0.0012,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3033,Korsten,Eastern Cape Tech Components,4862,4840,-0.0045,"12 Kempston Road, Korsten, Gqeberha, 6020"
3034,Korsten,HarbourView Retail Distribution,3401,3399,-0.0006,"12 Kempston Road, Korsten, Gqeberha, 6020"
3035,Newton Park,BayLine Automotive Logistics,4073,4073,0.0,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3036,Newton Park,BayLine Automotive Logistics,3064,3046,-0.0059,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3037,Newton Park,HarbourView Retail Distribution,3813,3791,-0.0058,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3038,Newton Park,Coastal Homeware Supply Co.,1443,1431,-0.0083,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3039,Deal Party,Coastal Homeware Supply Co.,1907,1882,-0.0131,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3040,Walmer Downs,Eastern Cape Tech Components,3464,3462,-0.0006,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3041,Newton Park,BayLine Automotive Logistics,2493,2480,-0.0052,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3042,Walmer Downs,Eastern Cape Tech Components,4792,4790,-0.0004,"101 Burman Road, Walmer Downs, Gqeberha, 6070"
3043,Newton Park,Coastal Homeware Supply Co.,3281,3274,-0.0021,"18 Diaz Road, Newton Park, Gqeberha, 6045"
3044,Fairview,Algoa Fresh Distribution,1125,1109,-0.0142,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3045,Deal Party,HarbourView Retail Distribution,4677,4671,-0.0013,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3046,Fairview,Coastal Homeware Supply Co.,1709,1702,-0.0041,"5 Haworthia Drive, Fairview, Gqeberha, 6070"
3047,Deal Party,Algoa Fresh Distribution,2596,2590,-0.0023,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
3048,Korsten,HarbourView Retail Distribution,1752,1728,-0.0137,"12 Kempston Road, Korsten, Gqeberha, 6020"
3049,Deal Party,Algoa Fresh Distribution,4547,4533,-0.0031,"44 Deal Party Road, Deal Party, Gqeberha, 6012"
